state,county,candidate,party,total_votes,won,candidate_2
Oklahoma,Nowata County,Donald Trump,REP,3610,TRUE,Donald Trump
Oklahoma,Nowata County,Joe Biden,DEM,712,FALSE,Joe Biden
Oklahoma,Nowata County,Jo Jorgensen,LIB,54,FALSE,Other
Oklahoma,Nowata County,Jade Simmons,IND,8,FALSE,Other
Oklahoma,Nowata County,Kanye West,IND,5,FALSE,Other
Oklahoma,Nowata County,Brock Pierce,IND,2,FALSE,Other
Oklahoma,Okfuskee County,Donald Trump,REP,3058,TRUE,Donald Trump
Oklahoma,Okfuskee County,Joe Biden,DEM,896,FALSE,Joe Biden
Oklahoma,Okfuskee County,Jo Jorgensen,LIB,49,FALSE,Other
Oklahoma,Okfuskee County,Jade Simmons,IND,15,FALSE,Other
Oklahoma,Okfuskee County,Kanye West,IND,12,FALSE,Other
Oklahoma,Okfuskee County,Brock Pierce,IND,8,FALSE,Other
Oklahoma,Oklahoma County,Donald Trump,REP,145050,TRUE,Donald Trump
Oklahoma,Oklahoma County,Joe Biden,DEM,141724,FALSE,Joe Biden
Oklahoma,Oklahoma County,Jo Jorgensen,LIB,5272,FALSE,Other
Oklahoma,Oklahoma County,Kanye West,IND,1326,FALSE,Other
Oklahoma,Oklahoma County,Jade Simmons,IND,852,FALSE,Other
Oklahoma,Oklahoma County,Brock Pierce,IND,516,FALSE,Other
Oklahoma,Okmulgee County,Donald Trump,REP,9668,TRUE,Donald Trump
Oklahoma,Okmulgee County,Joe Biden,DEM,4357,FALSE,Joe Biden
Oklahoma,Okmulgee County,Jo Jorgensen,LIB,181,FALSE,Other
Oklahoma,Okmulgee County,Kanye West,IND,50,FALSE,Other
Oklahoma,Okmulgee County,Jade Simmons,IND,31,FALSE,Other
Oklahoma,Okmulgee County,Brock Pierce,IND,26,FALSE,Other
Oklahoma,Osage County,Donald Trump,REP,14121,TRUE,Donald Trump
Oklahoma,Osage County,Joe Biden,DEM,6002,FALSE,Joe Biden
Oklahoma,Osage County,Jo Jorgensen,LIB,257,FALSE,Other
Oklahoma,Osage County,Kanye West,IND,84,FALSE,Other
Oklahoma,Osage County,Jade Simmons,IND,51,FALSE,Other
Oklahoma,Osage County,Brock Pierce,IND,23,FALSE,Other
Oklahoma,Ottawa County,Donald Trump,REP,8545,TRUE,Donald Trump
Oklahoma,Ottawa County,Joe Biden,DEM,2686,FALSE,Joe Biden
Oklahoma,Ottawa County,Jo Jorgensen,LIB,134,FALSE,Other
Oklahoma,Ottawa County,Kanye West,IND,26,FALSE,Other
Oklahoma,Ottawa County,Jade Simmons,IND,24,FALSE,Other
Oklahoma,Ottawa County,Brock Pierce,IND,23,FALSE,Other
Oklahoma,Pawnee County,Donald Trump,REP,5267,TRUE,Donald Trump
Oklahoma,Pawnee County,Joe Biden,DEM,1363,FALSE,Joe Biden
Oklahoma,Pawnee County,Jo Jorgensen,LIB,103,FALSE,Other
Oklahoma,Pawnee County,Jade Simmons,IND,20,FALSE,Other
Oklahoma,Pawnee County,Kanye West,IND,19,FALSE,Other
Oklahoma,Pawnee County,Brock Pierce,IND,14,FALSE,Other
Oklahoma,Payne County,Donald Trump,REP,17813,TRUE,Donald Trump
Oklahoma,Payne County,Joe Biden,DEM,10904,FALSE,Joe Biden
Oklahoma,Payne County,Jo Jorgensen,LIB,673,FALSE,Other
Oklahoma,Payne County,Kanye West,IND,123,FALSE,Other
Oklahoma,Payne County,Jade Simmons,IND,69,FALSE,Other
Oklahoma,Payne County,Brock Pierce,IND,61,FALSE,Other
Oklahoma,Pittsburg County,Donald Trump,REP,13851,TRUE,Donald Trump
Oklahoma,Pittsburg County,Joe Biden,DEM,3768,FALSE,Joe Biden
Oklahoma,Pittsburg County,Jo Jorgensen,LIB,198,FALSE,Other
Oklahoma,Pittsburg County,Kanye West,IND,58,FALSE,Other
Oklahoma,Pittsburg County,Jade Simmons,IND,25,FALSE,Other
Oklahoma,Pittsburg County,Brock Pierce,IND,24,FALSE,Other
Oklahoma,Pontotoc County,Donald Trump,REP,10805,TRUE,Donald Trump
Oklahoma,Pontotoc County,Joe Biden,DEM,4117,FALSE,Joe Biden
Oklahoma,Pontotoc County,Jo Jorgensen,LIB,261,FALSE,Other
Oklahoma,Pontotoc County,Kanye West,IND,69,FALSE,Other
Oklahoma,Pontotoc County,Jade Simmons,IND,39,FALSE,Other
Oklahoma,Pontotoc County,Brock Pierce,IND,29,FALSE,Other
Oklahoma,Pottawatomie County,Donald Trump,REP,20240,TRUE,Donald Trump
Oklahoma,Pottawatomie County,Joe Biden,DEM,7275,FALSE,Joe Biden
Oklahoma,Pottawatomie County,Jo Jorgensen,LIB,431,FALSE,Other
Oklahoma,Pottawatomie County,Kanye West,IND,113,FALSE,Other
Oklahoma,Pottawatomie County,Jade Simmons,IND,76,FALSE,Other
Oklahoma,Pottawatomie County,Brock Pierce,IND,50,FALSE,Other
Oklahoma,Pushmataha County,Donald Trump,REP,4016,TRUE,Donald Trump
Oklahoma,Pushmataha County,Joe Biden,DEM,668,FALSE,Joe Biden
Oklahoma,Pushmataha County,Jo Jorgensen,LIB,33,FALSE,Other
Oklahoma,Pushmataha County,Brock Pierce,IND,9,FALSE,Other
Oklahoma,Pushmataha County,Jade Simmons,IND,7,FALSE,Other
Oklahoma,Pushmataha County,Kanye West,IND,6,FALSE,Other
Oklahoma,Roger Mills County,Donald Trump,REP,1629,TRUE,Donald Trump
Oklahoma,Roger Mills County,Joe Biden,DEM,168,FALSE,Joe Biden
Oklahoma,Roger Mills County,Jo Jorgensen,LIB,24,FALSE,Other
Oklahoma,Roger Mills County,Kanye West,IND,7,FALSE,Other
Oklahoma,Roger Mills County,Brock Pierce,IND,3,FALSE,Other
Oklahoma,Roger Mills County,Jade Simmons,IND,3,FALSE,Other
Oklahoma,Rogers County,Donald Trump,REP,34031,TRUE,Donald Trump
Oklahoma,Rogers County,Joe Biden,DEM,9589,FALSE,Joe Biden
Oklahoma,Rogers County,Jo Jorgensen,LIB,655,FALSE,Other
Oklahoma,Rogers County,Kanye West,IND,114,FALSE,Other
Oklahoma,Rogers County,Jade Simmons,IND,90,FALSE,Other
Oklahoma,Rogers County,Brock Pierce,IND,74,FALSE,Other
